CLASS_CODE,STU_NUM,GRADE,CREDIT
10012,311198,A,3
10012,311357,A,3
10012,322345,A,3
10012,324274,A,3
10012,343749,B,3
10013,324258,B,3
10013,325563,A,3
10014,319989,A,3
10014,321452,B,3
10014,324257,C,3
10016,320367,A,3
10016,327689,A,3
10016,342721,A,3
10016,345758,A,3
10017,324269,B,3
10017,328934,B,3
10017,328993,B,3
12001,321452,B,3
12001,342721,A,3
12001,345783,C,3
12002,320367,A,3
12002,328934,D,3
15020,345783,B,4
15021,320367,A,4
15021,321452,B,4
15021,324274,A,4
15021,330021,C,4
15022,322345,B,4
15022,327689,B,4
20017,342721,B,3
20017,343749,A,3
20018,311357,B,3
20018,322345,A,3
20019,321452,B,3
20019,324258,B,3
20019,325563,C,3
20025,345758,A,3
20030,311198,A,3
20030,324257,B,3
20030,328934,C,3
20030,345758,B,3
20040,324269,A,4
20040,328993,B,4
22011,327689,B,3
22011,342721,B,3
22020,321452,B,3
22020,324274,B,3
22020,343749,C,3
23110,311198,B,3
23110,311357,B,3
23110,324257,B,3
23110,345758,C,3
23111,324269,A,3
23111,328993,A,3
23120,327689,C,3
23121,311198,C,3
23121,328934,A,3
23121,328993,B,3
25000,320367,A,3
25000,345783,A,3
25001,330021,B,3
25002,311357,B,3
25002,322345,C,3
25002,324258,D,3
25002,343749,B,3
25010,325563,C,3
25011,345783,C,3
30010,320367,A,3
30010,324258,A,3
30110,322345,C,3
30110,324274,B,3
30110,330021,B,3
32000,342721,B,3
32000,345783,B,3
32001,343749,B,3
32002,325563,B,3
32002,330021,A,3
40010,324258,B,3
40010,342721,C,3
40010,345783,B,3
40011,322345,A,3
40011,325563,A,3
40011,330021,A,3
40101,311198,B,3
40101,311357,B,3
40101,324257,B,3
40101,324269,A,3
40101,324274,B,3
50021,324258,A,3
50022,311198,B,3
50022,327689,B,3
50022,342721,A,3
50022,343749,A,3
50023,324257,B,4
50023,324269,B,4
50024,311357,B,4
50024,324274,A,4
50024,328934,A,4
50024,345758,B,4
